"busco_id"	"Balaena_mysticetus"	"Balaenoptera_acutorostrata"	"Balaenoptera_borealis"	"Balaenoptera_brydei"	"Balaenoptera_omurai"	"Balaenoptera_physalus"	"Cephalorhynchus_hectori"	"Delphinapterus_leucas"	"Delphinus_capensis"	"Delphinus_delphis"	"Eschrichtius_robustus"	"Eubalaena_australis"	"Eubalaena_glacialis"	"Feresa_attenuata"	"Globicephala_macrorhynchus"	"Globicephala_melas"	"Grampus_griseus"	"Kogia_breviceps"	"Kogia_sima"	"Lagenorhynchus_acutus"	"Lagenorhynchus_albirostris"	"Lagenorhynchus_obliquidens"	"Lipotes_vexillifer"	"Megaptera_novaeangliae"	"Mesoplodon_bidens"	"Mesoplodon_densirostris"	"Monodon_monoceros"	"Neophocaena_asiaeorientalis"	"Neophocaena_phocaenoides"	"Orcinus_orca"	"Phocoena_phocoena"	"Phocoenoides_dalli"	"Physeter_catodon"	"Pseudorca_crassidens"	"Sousa_chinensis"	"Stenella_attenuata"	"Stenella_coeruleoalba"	"Steno_bredanensis"	"Tursiops_aduncus"	"Tursiops_truncatus"	"Ziphius_cavirostris"
"EOG0902058J"	NA	"XM_007179098.1"	NA	NA	NA	NA	NA	"XM_022562163.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027099600.1"	"XM_007449219.1"	NA	NA	NA	"XM_029242601.1"	"XM_024764284.1"	NA	"XM_004286076.2"	NA	NA	"XM_028478927.1"	NA	NA	NA	NA	NA	NA	"XM_019944851.1"	NA
"EOG0902058M"	NA	"XM_007169474.1"	NA	NA	NA	NA	NA	"XM_022584163.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027096328.1"	"XM_007449327.1"	NA	NA	NA	"XM_029229915.1"	"XM_024742122.1"	NA	"XM_004263126.1"	NA	NA	"XM_028489042.1"	NA	NA	NA	NA	NA	NA	"XM_019919912.1"	NA
"EOG0902058R"	NA	"XM_007182651.1"	NA	NA	NA	NA	NA	"XM_022563719.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091536.1"	"XM_007450920.1"	NA	NA	NA	"XM_029241138.1"	"XM_024745233.1"	NA	"XM_004281923.1"	NA	NA	"XM_028482391.1"	NA	NA	NA	NA	NA	NA	"XM_019943638.1"	NA
"EOG0902058Z"	NA	"XM_007185279.1"	NA	NA	NA	NA	NA	"XM_022597406.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027086956.1"	"XM_007457602.1"	NA	NA	NA	"XM_029219303.1"	"XM_024750432.1"	NA	"XM_004282914.2"	NA	NA	"XM_028499720.1"	NA	NA	NA	NA	NA	NA	"XM_019944046.1"	NA
"EOG09020594"	NA	"XM_007167580.1"	NA	NA	NA	NA	NA	"XM_022555972.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027119870.1"	"XM_007459441.1"	NA	NA	NA	"XM_029241102.1"	"XM_024751489.1"	NA	"XM_004286372.2"	NA	NA	"XM_007106396.2"	NA	NA	NA	NA	NA	NA	"XM_004322335.2"	NA
"EOG09020596"	NA	"XM_007169528.1"	NA	NA	NA	NA	NA	"XM_022584237.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027114471.1"	"XM_007449610.1"	NA	NA	NA	"XM_029230733.1"	"XM_024751250.1"	NA	"XM_004263078.2"	NA	NA	"XM_024119885.2"	NA	NA	NA	NA	NA	NA	"XM_004315392.2"	NA
"EOG09020598"	NA	"XM_007168781.2"	NA	NA	NA	NA	NA	"XM_022573213.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027098717.1"	"XM_007446172.1"	NA	NA	NA	"XM_029242868.1"	"XM_024737584.1"	NA	"XM_012538264.1"	NA	NA	"XM_028484881.1"	NA	NA	NA	NA	NA	NA	"XM_019931628.1"	NA
"EOG0902059A"	NA	"XM_007191932.1"	NA	NA	NA	NA	NA	"XM_022584458.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027118556.1"	"XM_007471656.1"	NA	NA	NA	"XM_029229062.1"	"XM_024756824.1"	NA	"XM_004266111.1"	NA	NA	"XM_007119477.3"	NA	NA	NA	NA	NA	NA	"XM_019937079.1"	NA
"EOG0902059D"	NA	"XM_007168609.2"	NA	NA	NA	NA	NA	"XM_022556844.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027128102.1"	"XM_007464021.1"	NA	NA	NA	"XM_029222649.1"	"XM_024742588.1"	NA	"XM_004275018.2"	NA	NA	"XM_007105243.3"	NA	NA	NA	NA	NA	NA	"XM_019925339.1"	NA
"EOG0902059E"	NA	"XM_007164558.2"	NA	NA	NA	NA	NA	"XM_022575569.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027108725.1"	"XM_007450361.1"	NA	NA	NA	"XM_029228000.1"	"XM_024746102.1"	NA	"XM_004285741.1"	NA	NA	"XM_007108614.3"	NA	NA	NA	NA	NA	NA	"XM_004327609.2"	NA
"EOG0902059F"	NA	"XM_007165223.1"	NA	NA	NA	NA	NA	"XM_022585821.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027079345.1"	"XM_007470948.1"	NA	NA	NA	"XM_029211669.1"	"XM_024734080.1"	NA	"XM_004284140.1"	NA	NA	"XM_024132692.1"	NA	NA	NA	NA	NA	NA	"XM_019948570.1"	NA
"EOG0902059G"	NA	"XM_007170127.1"	NA	NA	NA	NA	NA	"XM_022577471.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027093038.1"	"XM_007469384.1"	NA	NA	NA	"XM_029204871.1"	"XM_024733155.1"	NA	"XM_004279081.1"	NA	NA	"XM_028483671.1"	NA	NA	NA	NA	NA	NA	"XM_019926014.1"	NA
"EOG0902059I"	NA	"XM_007182815.2"	NA	NA	NA	NA	NA	"XM_022593620.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027082779.1"	"XM_007470694.1"	NA	NA	NA	"XM_029229847.1"	"XM_024751104.1"	NA	"XM_004282437.1"	NA	NA	"XM_007114012.3"	NA	NA	NA	NA	NA	NA	"XM_019918493.1"	NA
"EOG0902059J"	NA	"XM_007174151.1"	NA	NA	NA	NA	NA	"XM_022560986.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027131220.1"	"XM_007448393.1"	NA	NA	NA	"XM_029211368.1"	"XM_024753787.1"	NA	"XM_004266787.2"	NA	NA	"XM_024127699.2"	NA	NA	NA	NA	NA	NA	"XM_019923371.1"	NA
"EOG0902059K"	NA	"XM_007184694.1"	NA	NA	NA	NA	NA	"XM_022567912.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027119028.1"	"XM_007453267.1"	NA	NA	NA	"XM_029225812.1"	"XM_024740608.1"	NA	"XM_004262608.1"	NA	NA	"XM_024124583.2"	NA	NA	NA	NA	NA	NA	"XM_019923498.1"	NA
"EOG0902059M"	NA	"XM_007194020.2"	NA	NA	NA	NA	NA	"XM_022566092.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027099358.1"	"XM_007449207.1"	NA	NA	NA	"XM_029244498.1"	"XM_024738509.1"	NA	"XM_004286065.2"	NA	NA	"XM_007106316.3"	NA	NA	NA	NA	NA	NA	"XM_019931375.1"	NA
"EOG0902059R"	NA	"XM_007174816.2"	NA	NA	NA	NA	NA	"XM_022583760.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027115180.1"	"XM_007457629.1"	NA	NA	NA	"XM_029208431.1"	"XM_024764690.1"	NA	"XM_004263917.1"	NA	NA	"XM_007122975.3"	NA	NA	NA	NA	NA	NA	"XM_004317677.2"	NA
"EOG0902059S"	NA	"XM_007195170.2"	NA	NA	NA	NA	NA	"XM_022569362.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027106985.1"	"XM_007457596.1"	NA	NA	NA	"XM_029215488.1"	"XM_024752135.1"	NA	"XM_004278764.1"	NA	NA	"XM_024124427.1"	NA	NA	NA	NA	NA	NA	"XM_004313867.2"	NA
"EOG0902059T"	NA	"XM_028165477.1"	NA	NA	NA	NA	NA	"XM_022564243.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027097644.1"	"XM_007460268.1"	NA	NA	NA	"XM_029230203.1"	"XM_024762904.1"	NA	"XM_012538841.1"	NA	NA	"XM_007130469.2"	NA	NA	NA	NA	NA	NA	"XM_019919539.1"	NA
"EOG0902059V"	NA	"XM_007169386.1"	NA	NA	NA	NA	NA	"XM_022584053.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091057.1"	"XM_007459048.1"	NA	NA	NA	"XM_029228646.1"	"XM_024764858.1"	NA	"XM_004263190.2"	NA	NA	"XM_024119613.1"	NA	NA	NA	NA	NA	NA	"XM_019919865.1"	NA
"EOG0902059W"	NA	"XM_007186189.1"	NA	NA	NA	NA	NA	"XM_022563623.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027096774.1"	"XM_007446473.1"	NA	NA	NA	"XM_029240134.1"	"XM_024767179.1"	NA	"XM_004284759.2"	NA	NA	"XM_007117778.2"	NA	NA	NA	NA	NA	NA	"XM_019943435.1"	NA
"EOG0902059Y"	NA	"XM_007173383.1"	NA	NA	NA	NA	NA	"XM_022584649.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027131580.1"	"XM_007465314.1"	NA	NA	NA	"XM_029223282.1"	"XM_024745018.1"	NA	"XM_012535002.1"	NA	NA	"XM_007119043.3"	NA	NA	NA	NA	NA	NA	"XM_004320775.2"	NA
"EOG090205A0"	NA	"XM_007167468.2"	NA	NA	NA	NA	NA	"XM_022554490.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027089379.1"	"XM_007445657.1"	NA	NA	NA	"XM_029237391.1"	"XM_024742728.1"	NA	"XM_012536188.1"	NA	NA	"XM_007102296.3"	NA	NA	NA	NA	NA	NA	"XM_019945770.1"	NA
"EOG090205A1"	NA	"XM_007192861.1"	NA	NA	NA	NA	NA	"XM_022570555.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027111247.1"	"XM_007445957.1"	NA	NA	NA	"XM_029239234.1"	"XM_024734734.1"	NA	"XM_004279355.2"	NA	NA	"XM_007119221.3"	NA	NA	NA	NA	NA	NA	"XM_019923871.1"	NA
"EOG090205A7"	NA	"XM_028163036.1"	NA	NA	NA	NA	NA	"XM_022584901.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027080373.1"	"XM_007458548.1"	NA	NA	NA	"XM_029243657.1"	"XM_024768273.1"	NA	"XM_004271184.2"	NA	NA	"XM_028478193.1"	NA	NA	NA	NA	NA	NA	"XM_019927618.1"	NA
"EOG090205A9"	NA	"XM_007180707.2"	NA	NA	NA	NA	NA	"XM_022570724.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027111054.1"	"XM_007464815.1"	NA	NA	NA	"XM_029238020.1"	"XM_024762055.1"	NA	"XM_004269962.1"	NA	NA	"XM_007112311.3"	NA	NA	NA	NA	NA	NA	"XM_019924033.1"	NA
"EOG090205AD"	NA	"XM_028167636.1"	NA	NA	NA	NA	NA	"XM_022588411.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027126519.1"	"XM_007452812.1"	NA	NA	NA	"XM_029221353.1"	"XM_024744448.1"	NA	"XM_012532613.1"	NA	NA	"XM_028483041.1"	NA	NA	NA	NA	NA	NA	NA	NA
"EOG090205AH"	NA	"XM_007190509.2"	NA	NA	NA	NA	NA	"XM_022567397.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027124298.1"	"XM_007469211.1"	NA	NA	NA	"XM_029225182.1"	"XM_024757317.1"	NA	"XM_012533098.1"	NA	NA	"XM_007108133.3"	NA	NA	NA	NA	NA	NA	"XM_019939148.1"	NA
"EOG090205AQ"	NA	"XM_007182463.2"	NA	NA	NA	NA	NA	"XM_022575115.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027109260.1"	"XM_007468691.1"	NA	NA	NA	"XM_029227307.1"	"XM_024765308.1"	NA	"XM_004266504.1"	NA	NA	"XM_007125072.3"	NA	NA	NA	NA	NA	NA	"XM_019938198.1"	NA
"EOG090205AT"	NA	"XM_007185451.1"	NA	NA	NA	NA	NA	"XM_022597436.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027087041.1"	"XM_007446402.1"	NA	NA	NA	"XM_029221642.1"	"XM_024750381.1"	NA	"XM_004282888.1"	NA	NA	"XM_007100298.3"	NA	NA	NA	NA	NA	NA	"XM_019943811.1"	NA
"EOG090205B0"	NA	"XM_007180007.1"	NA	NA	NA	NA	NA	"XM_022585703.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027079484.1"	"XM_007464682.1"	NA	NA	NA	"XM_029242127.1"	"XM_024768285.1"	NA	"XM_004271315.1"	NA	NA	"XM_007114583.3"	NA	NA	NA	NA	NA	NA	"XM_019941033.1"	NA
"EOG090205B2"	NA	"XM_028166819.1"	NA	NA	NA	NA	NA	"XM_022560367.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081881.1"	"XM_007463604.1"	NA	NA	NA	"XM_029208186.1"	"XM_024740748.1"	NA	"XM_004280722.1"	NA	NA	"XM_007106611.3"	NA	NA	NA	NA	NA	NA	"XM_019941679.1"	NA
"EOG090205B3"	NA	"XM_007194145.1"	NA	NA	NA	NA	NA	"XM_022589964.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081762.1"	"XM_007453703.1"	NA	NA	NA	"XM_029217691.1"	"XM_024752344.1"	NA	"XM_004280229.2"	NA	NA	"XM_007102069.2"	NA	NA	NA	NA	NA	NA	"XM_019924596.1"	NA
"EOG090205B5"	NA	"XM_007168127.2"	NA	NA	NA	NA	NA	"XM_022585386.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027079831.1"	"XM_007458542.1"	NA	NA	NA	"XM_029243560.1"	"XM_024768603.1"	NA	"XM_004271179.2"	NA	NA	"XM_028478101.1"	NA	NA	NA	NA	NA	NA	"XM_019934978.1"	NA
"EOG090205B9"	NA	"XM_007177663.1"	NA	NA	NA	NA	NA	"XM_022558129.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027094427.1"	"XM_007447159.1"	NA	NA	NA	"XM_029211560.1"	"XM_024744700.1"	NA	"XM_004282800.1"	NA	NA	"XM_007129053.3"	NA	NA	NA	NA	NA	NA	"XM_019939393.1"	NA
"EOG090205BA"	NA	"XM_007165614.1"	NA	NA	NA	NA	NA	"XM_022599568.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027087453.1"	"XM_007447555.1"	NA	NA	NA	"XM_029235156.1"	"XM_024767035.1"	NA	"XM_004280155.2"	NA	NA	"XM_028491980.1"	NA	NA	NA	NA	NA	NA	"XM_004328483.2"	NA
"EOG090205BN"	NA	"XM_007172788.1"	NA	NA	NA	NA	NA	"XM_022555669.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027115418.1"	"XM_007471385.1"	NA	NA	NA	"XM_029207419.1"	"XM_024757006.1"	NA	"XM_004279198.1"	NA	NA	"XM_024118750.2"	NA	NA	NA	NA	NA	NA	"XM_019948258.1"	NA
"EOG090205BO"	NA	"XM_007190948.1"	NA	NA	NA	NA	NA	"XM_022557899.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027085015.1"	"XM_007467603.1"	NA	NA	NA	"XM_029223809.1"	"XM_024739384.1"	NA	"XM_012536177.1"	NA	NA	"XM_028494378.1"	NA	NA	NA	NA	NA	NA	"XM_004312947.2"	NA
"EOG090205BS"	NA	"XM_007167502.1"	NA	NA	NA	NA	NA	"XM_022554552.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027089102.1"	"XM_007456420.1"	NA	NA	NA	"XM_029239509.1"	"XM_024742741.1"	NA	"XM_004278356.1"	NA	NA	"XM_007128814.3"	NA	NA	NA	NA	NA	NA	"XM_019945925.1"	NA
"EOG090205BT"	NA	"XM_007181032.1"	NA	NA	NA	NA	NA	"XM_022583680.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027115086.1"	"XM_007468088.1"	NA	NA	NA	"XM_029207371.1"	"XM_024752569.1"	NA	"XM_004263976.1"	NA	NA	"XM_028477358.1"	NA	NA	NA	NA	NA	NA	"XM_004315967.2"	NA
"EOG090205BV"	NA	"XM_007167876.1"	NA	NA	NA	NA	NA	"XM_022562849.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091964.1"	"XM_007450577.1"	NA	NA	NA	"XM_029202072.1"	"XM_024747766.1"	NA	"XM_004270645.1"	NA	NA	"XM_007126305.2"	NA	NA	NA	NA	NA	NA	"XM_019936327.1"	NA
"EOG090205BW"	NA	"XM_007189901.2"	NA	NA	NA	NA	NA	"XM_022580537.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027121880.1"	"XM_007460906.1"	NA	NA	NA	"XM_029238053.1"	"XM_024765572.1"	NA	"XM_004274398.2"	NA	NA	"XM_028495720.1"	NA	NA	NA	NA	NA	NA	"XM_019933437.1"	NA
"EOG090205BX"	NA	NA	NA	NA	NA	NA	NA	"XM_022571474.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027104320.1"	"XM_007454812.1"	NA	NA	NA	"XM_029213711.1"	"XM_024735322.1"	NA	NA	NA	NA	"XM_024120004.1"	NA	NA	NA	NA	NA	NA	"XM_019923301.1"	NA
"EOG090205BY"	NA	"XM_007165058.2"	NA	NA	NA	NA	NA	"XM_022585831.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027079327.1"	"XM_007470943.1"	NA	NA	NA	"XM_029207210.1"	"XM_024734123.1"	NA	"XM_004284259.2"	NA	NA	"XM_007101652.3"	NA	NA	NA	NA	NA	NA	"XM_019940999.1"	NA
"EOG090205C3"	NA	"XM_007189472.1"	NA	NA	NA	NA	NA	"XM_022598030.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027124715.1"	"XM_007455847.1"	NA	NA	NA	"XM_029230660.1"	"XM_024758664.1"	NA	"XM_004281481.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_019950452.1"	NA
"EOG090205C4"	NA	"XM_007178787.2"	NA	NA	NA	NA	NA	"XM_022565528.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027103104.1"	"XM_007453060.1"	NA	NA	NA	"XM_029235495.1"	"XM_024731722.1"	NA	"XM_012531756.1"	NA	NA	"XM_028492030.1"	NA	NA	NA	NA	NA	NA	NA	NA
"EOG090205C6"	NA	"XM_007190191.1"	NA	NA	NA	NA	NA	"XM_022566381.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027099746.1"	"XM_007446589.1"	NA	NA	NA	"XM_029213103.1"	"XM_024731281.1"	NA	"XM_004271694.2"	NA	NA	"XM_007105575.3"	NA	NA	NA	NA	NA	NA	"XM_019945266.1"	NA
"EOG090205C9"	NA	"XM_007182607.1"	NA	NA	NA	NA	NA	"XM_022583159.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027119221.1"	"XM_007462923.1"	NA	NA	NA	"XM_029209976.1"	"XM_024735645.1"	NA	"XM_004273288.2"	NA	NA	"XM_007116518.3"	NA	NA	NA	NA	NA	NA	"XM_004313466.2"	NA
"EOG090205CD"	NA	"XM_007179308.1"	NA	NA	NA	NA	NA	"XM_022572245.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027106192.1"	"XM_007452271.1"	NA	NA	NA	"XM_029204360.1"	"XM_024736745.1"	NA	"XM_004274358.1"	NA	NA	"XM_028491356.1"	NA	NA	NA	NA	NA	NA	"XM_019922586.1"	NA
"EOG090205CE"	NA	"XM_028161682.1"	NA	NA	NA	NA	NA	"XM_022563691.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027097149.1"	"XM_007447343.1"	NA	NA	NA	"XM_029241813.1"	"XM_024754111.1"	NA	"XM_004277856.2"	NA	NA	"XM_007116459.3"	NA	NA	NA	NA	NA	NA	"XM_019946890.1"	NA
"EOG090205CF"	NA	"XM_007188422.1"	NA	NA	NA	NA	NA	"XM_022580678.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027122030.1"	"XM_007470908.1"	NA	NA	NA	"XM_029239457.1"	"XM_024750036.1"	NA	"XM_004278644.2"	NA	NA	"XM_024116419.2"	NA	NA	NA	NA	NA	NA	"XM_019933595.1"	NA
"EOG090205CG"	NA	"XM_007190408.2"	NA	NA	NA	NA	NA	"XM_022570125.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027127237.1"	"XM_007450717.1"	NA	NA	NA	"XM_029225694.1"	"XM_024732856.1"	NA	"XM_004267367.2"	NA	NA	"XM_007130756.2"	NA	NA	NA	NA	NA	NA	"XM_004326825.2"	NA
"EOG090205CK"	NA	"XM_007186094.1"	NA	NA	NA	NA	NA	"XM_022560740.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081876.1"	"XM_007457586.1"	NA	NA	NA	"XM_029223353.1"	"XM_024747911.1"	NA	"XM_004278876.1"	NA	NA	"XM_024122718.2"	NA	NA	NA	NA	NA	NA	"XM_019951445.1"	NA
"EOG090205CM"	NA	"XM_028162977.1"	NA	NA	NA	NA	NA	"XM_022590840.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027129935.1"	"XM_007454676.1"	NA	NA	NA	"XM_029245049.1"	"XM_024739749.1"	NA	"XM_004273143.2"	NA	NA	"XM_024132038.2"	NA	NA	NA	NA	NA	NA	"XM_019936105.1"	NA
"EOG090205CP"	NA	"XM_007172526.2"	NA	NA	NA	NA	NA	"XM_022582847.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027118913.1"	"XM_007468453.1"	NA	NA	NA	"XM_029203233.1"	"XM_024735635.1"	NA	"XM_012536849.1"	NA	NA	"XM_024124957.2"	NA	NA	NA	NA	NA	NA	NA	NA
"EOG090205CS"	NA	"XM_007176788.1"	NA	NA	NA	NA	NA	"XM_022573432.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027105968.1"	"XM_007455569.1"	NA	NA	NA	"XM_029201845.1"	"XM_024760457.1"	NA	"XM_012535324.1"	NA	NA	"XM_024126907.1"	NA	NA	NA	NA	NA	NA	"XM_019934096.1"	NA
"EOG090205CT"	NA	"XM_007188632.2"	NA	NA	NA	NA	NA	"XM_022590163.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081534.1"	"XM_007448041.1"	NA	NA	NA	"XM_029216480.1"	"XM_024732249.1"	NA	"XM_004280341.2"	NA	NA	"XM_007118371.3"	NA	NA	NA	NA	NA	NA	"XM_019924880.1"	NA
"EOG090205CV"	NA	"XM_007193507.1"	NA	NA	NA	NA	NA	"XM_022584259.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027102283.1"	"XM_007466096.1"	NA	NA	NA	"XM_029233772.1"	"XM_024755064.1"	NA	"XM_004269956.2"	NA	NA	"XM_024127171.2"	NA	NA	NA	NA	NA	NA	"XM_019926110.1"	NA
"EOG090205CX"	NA	"XM_007171708.2"	NA	NA	NA	NA	NA	"XM_022559330.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027095408.1"	"XM_007467132.1"	NA	NA	NA	"XM_029229217.1"	"XM_024757408.1"	NA	"XM_004284396.2"	NA	NA	"XM_007112274.3"	NA	NA	NA	NA	NA	NA	"XM_019932217.1"	NA
"EOG090205CZ"	NA	"XM_007186048.2"	NA	NA	NA	NA	NA	"XM_022561294.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081011.1"	"XM_007445923.1"	NA	NA	NA	"XM_029223693.1"	"XM_024744897.1"	NA	"XM_004278847.1"	NA	NA	"XM_024122588.2"	NA	NA	NA	NA	NA	NA	"XM_019951551.1"	NA
"EOG090205D6"	NA	"XM_007165533.1"	NA	NA	NA	NA	NA	"XM_022590255.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081420.1"	"XM_007447115.1"	NA	NA	NA	"XM_029216660.1"	"XM_024760127.1"	NA	"XM_004280973.1"	NA	NA	"XM_024117204.2"	NA	NA	NA	NA	NA	NA	"XM_019924831.1"	NA
"EOG090205D7"	NA	"XM_007189672.2"	NA	NA	NA	NA	NA	"XM_022598205.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027125108.1"	"XM_007448650.1"	NA	NA	NA	"XM_029219243.1"	"XM_024758687.1"	NA	"XM_004276648.2"	NA	NA	"XM_024120774.2"	NA	NA	NA	NA	NA	NA	"XM_019942748.1"	NA
"EOG090205D8"	NA	"XM_007170256.1"	NA	NA	NA	NA	NA	"XM_022577414.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027093285.1"	"XM_007469421.1"	NA	NA	NA	"XM_029204258.1"	"XM_024733203.1"	NA	"XM_012536467.1"	NA	NA	"XM_024128969.2"	NA	NA	NA	NA	NA	NA	"XM_019926090.1"	NA
"EOG090205D9"	NA	"XM_007174526.1"	NA	NA	NA	NA	NA	"XM_022554283.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027092422.1"	"XM_007462874.1"	NA	NA	NA	"XM_029241097.1"	"XM_024746586.1"	NA	"XM_004285473.1"	NA	NA	"XM_024128101.2"	NA	NA	NA	NA	NA	NA	"XM_019919063.1"	NA
"EOG090205DG"	NA	"XM_007188245.1"	NA	NA	NA	NA	NA	"XM_022581413.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027125348.1"	"XM_007451610.1"	NA	NA	NA	"XM_029218405.1"	"XM_024741743.1"	NA	"XM_004274480.1"	NA	NA	"XM_024118365.2"	NA	NA	NA	NA	NA	NA	"XM_019951132.1"	NA
